year,station,avg_temp_c,precip_mm,sunshine_hours
1990,Budapest,11.9,415.7,2014.3
1990,Csapadékos napok száma,,1990.0,
1990,Debrecen,10.6,459.6,2147.8
1990,Győr,11.0,434.8,2230.4
1990,Kecskemét,11.0,435.9,2118.4
1990,Kékestető,6.3,706.3,2142.0
1990,"Maximum hőmérséklet, °C",1990.0,,
1990,"Minimum hőmérséklet, °C",1990.0,,
1990,Miskolc,10.0,475.0,1931.2
1990,Napkor,10.2,393.0,2039.8
1990,Pogány,11.5,458.2,2247.9
1990,Siófok,11.4,452.5,2153.4
1990,Szeged,11.2,434.9,2188.3
1990,Szeles napok száma,,1990.0,
1990,Szombathely,10.2,593.8,2039.6
1991,Budapest,10.8,594.0,1863.0
1991,Csapadékos napok száma,,1991.0,
1991,Debrecen,9.5,597.3,
1991,Győr,9.8,446.4,2006.3
1991,Kecskemét,9.6,593.3,1869.7
1991,Kékestető,4.9,887.3,1891.1
1991,"Maximum hőmérséklet, °C",1991.0,,
1991,"Minimum hőmérséklet, °C",1991.0,,
1991,Miskolc,9.0,622.3,1689.2
1991,Napkor,9.3,577.1,1832.4
1991,Pogány,10.2,618.2,2069.1
1991,Siófok,10.3,474.3,2028.5
1991,Szeged,9.7,617.4,1917.3
1991,Szeles napok száma,,1991.0,
1991,Szombathely,9.0,688.2,1835.6
1992,Budapest,12.2,364.1,2093.7
1992,Csapadékos napok száma,,1992.0,
1992,Debrecen,10.6,390.5,2056.5
1992,Győr,11.3,557.9,2136.6
1992,Kecskemét,11.2,387.2,2047.5
1992,Kékestető,6.3,494.6,2260.6
1992,"Maximum hőmérséklet, °C",1992.0,,
1992,"Minimum hőmérséklet, °C",1992.0,,
1992,Miskolc,10.1,363.4,2086.4
1992,Napkor,10.2,436.8,2018.7
1992,Pogány,11.8,695.0,2250.4
1992,Siófok,11.9,433.7,2188.5
1992,Szeged,11.4,456.8,2084.8
1992,Szeles napok száma,,1992.0,
1992,Szombathely,10.6,571.2,1937.2
1993,Budapest,11.3,505.4,2091.6
1993,Csapadékos napok száma,,1993.0,
1993,Debrecen,9.8,513.7,2024.1
1993,Győr,10.3,527.5,2023.4
1993,Kecskemét,10.2,447.2,1972.3
1993,Kékestető,5.7,634.4,2119.3
1993,"Maximum hőmérséklet, °C",1993.0,,
1993,"Minimum hőmérséklet, °C",1993.0,,
1993,Miskolc,9.6,364.5,1970.3
1993,Napkor,9.5,423.7,1967.0
1993,Pogány,10.5,673.9,2187.3
1993,Siófok,10.6,511.1,2013.4
1993,Szeged,10.3,407.8,2002.5
1993,Szeles napok száma,,1993.0,
1993,Szombathely,9.7,501.6,1785.9
1994,Budapest,12.5,481.1,1976.7
1994,Csapadékos napok száma,,1994.0,
1994,Debrecen,11.3,447.0,2144.1
1994,Győr,11.6,669.8,2073.4
1994,Kecskemét,11.6,373.6,2031.7
1994,Kékestető,6.8,581.1,2011.9
1994,"Maximum hőmérséklet, °C",1994.0,,
1994,"Minimum hőmérséklet, °C",1994.0,,
1994,Miskolc,10.8,413.1,1998.1
1994,Napkor,11.0,403.3,2030.7
1994,Pogány,12.0,583.1,2193.0
1994,Siófok,12.2,490.0,2123.4
1994,Szeged,11.7,398.6,2009.6
1994,Szeles napok száma,,1994.0,
1994,Szombathely,11.0,598.9,1901.7
1995,Budapest,11.4,574.9,1845.2
1995,Csapadékos napok száma,,1995.0,
1995,Debrecen,10.5,520.8,1983.4
1995,Győr,10.3,609.6,1925.8
1995,Kecskemét,10.5,650.1,1925.4
1995,Kékestető,5.5,891.2,1895.6
1995,"Maximum hőmérséklet, °C",1995.0,,
1995,"Minimum hőmérséklet, °C",1995.0,,
1995,Miskolc,9.7,648.6,1910.9
