year,crop,crop_hu,area_kha,area_ha,yield_kg_ha,yield_t_ha,production_t,population,food_need_kg_per_capita,food_need_t,required_area_ha,self_sufficiency_ratio,supported_population,avg_temp_c,precip_mm,sunshine_hours,water_need_mid_mm,water_balance_mm,risk_level
1990,barley,Árpa összesen,297.0,297000.0,4570.0,4.57,1357649.0,10374823.0,15,155622.345,34053.03,8.724,90509933.333,10.48,478.15,2113.92,500,-21.85,medium
1990,maize,Kukorica,1082.0,1082000.0,4090.0,4.09,4257731.0,10374823.0,80,829985.84,202930.523,5.13,53221637.5,10.48,478.15,2113.92,650,-171.85,high
1990,oats,Zab,48.0,48000.0,3310.0,3.31,158357.0,10374823.0,5,51874.115,15671.938,3.053,31671400.0,10.48,478.15,2113.92,500,-21.85,medium
1990,potato,Burgonya,44.0,44000.0,16920.0,16.92,745550.0,10374823.0,55,570615.265,33724.306,1.307,13555454.545,10.48,478.15,2113.92,550,-71.85,medium
1990,rapeseed,Repcemag,60.0,60000.0,1740.0,1.74,104413.0,10374823.0,5,51874.115,29812.71,2.013,20882600.0,10.48,478.15,2113.92,550,-71.85,medium
1990,rye,Rozs,91.0,91000.0,2500.0,2.5,229010.0,10374823.0,5,51874.115,20749.646,4.415,45802000.0,10.48,478.15,2113.92,500,-21.85,medium
1990,soybean,Szójabab,42.0,42000.0,1240.0,1.24,52643.0,10374823.0,8,82998.584,66934.342,0.634,6580375.0,10.48,478.15,2113.92,600,-121.85,high
1990,sugar_beet,Cukorrépa,131.0,131000.0,36090.0,36.09,4740953.0,10374823.0,35,363118.805,10061.48,13.056,135455800.0,10.48,478.15,2113.92,650,-171.85,high
1990,sunflower,Napraforgómag,347.0,347000.0,1950.0,1.95,677376.0,10374823.0,10,103748.23,53204.221,6.529,67737600.0,10.48,478.15,2113.92,600,-121.85,high
1990,wheat,Búza,1221.0,1221000.0,5050.0,5.05,6161426.0,10374823.0,120,1244978.76,246530.448,4.949,51345216.667,10.48,478.15,2113.92,550,-71.85,medium
1991,barley,Árpa összesen,358.0,358000.0,4360.0,4.36,1555261.0,10373152.545,15,155597.288,35687.451,9.995,103684066.667,9.28,610.53,1900.22,500,110.53,low
1991,maize,Kukorica,1106.0,1106000.0,6710.0,6.71,7744609.0,10373152.545,80,829852.204,123673.95,9.333,96807612.5,9.28,610.53,1900.22,650,-39.47,medium
1991,oats,Zab,50.0,50000.0,2650.0,2.65,134733.0,10373152.545,5,51865.763,19571.986,2.598,26946600.0,9.28,610.53,1900.22,500,110.53,low
